Database_Name,Table_Name
edwim,ad_account
edwim,ad_account_archive
edwim,ad_account_supplemental
edwim,ad_group_user
edwim,ad_member_group_hierarchy
edwim,ad_member_group_hierarchy_archive
edwim,ad_member_user
edwim,ad_user_activity
edwim,ad_user_activity_archive
edwim,application_corporate_facility_xwalk
edwim,cactus_dr_first_member_type_xwalk
edwim,cactus_dr_first_specialty_xwalk
edwim,cactus_mt_pd_auto_activity
edwim,cactus_mt_pd_auto_activity_archive
edwim,cactus_provider
edwim,cactus_provider_archive
edwim,epms_provider_activity
edwim,epms_provider_activity_archive
edwim,epms_provider_status
edwim,epms_provider_status_archive
edwim,esaf_facility_business_unit
edwim,esaf_provisioning_event_time
edwim,esaf_provisioning_event_time_archive
edwim,fact_person_detail
edwim,hpf_account
edwim,hpf_account_archive
edwim,hpf_account_esaf_xwalk
edwim,hpf_user_activity
edwim,hpf_user_activity_archive
edwim,im_person_activity
edwim,im_person_activity_archive
edwim,im_provider_address
edwim,junc_im_provider_address
edwim,junc_im_provider_specialty
edwim,junc_provider_degree
edwim,junc_provider_language
edwim,lawson_person
edwim,lawson_person_archive
edwim,lawson_user_activity
edwim,lawson_user_activity_archive
edwim,meditech_user
edwim,meditech_user_activity
edwim,meditech_user_activity_archive
edwim,meditech_user_archive
edwim,npi_registry_provider
edwim,npi_registry_provider_address
edwim,pk_user
edwim,pk_user_activity
edwim,pk_user_activity_archive
edwim,pk_user_archive
edwim,platform_domain_xwalk
edwim,provider_board_certification
edwim,provider_detail
edwim,provider_facility_detail
edwim,provider_insurance
edwim,provider_license
edwim,pyxis_user
edwim,pyxis_user_activity
edwim,pyxis_user_activity_archive
edwim,pyxis_user_archive
edwim,ref_access_rule
edwim,ref_ad_employee_type
edwim,ref_ad_user_title
edwim,ref_application_system
edwim,ref_attribute
edwim,ref_attribute_value
edwim,ref_cactus_mss_manager
edwim,ref_dr_first_medical_specialty
edwim,ref_dr_first_member_type
edwim,ref_im_contract_company
edwim,ref_im_domain
edwim,ref_im_job_code
edwim,ref_im_job_position
edwim,ref_im_provider_category
edwim,ref_im_provider_specialty
edwim,ref_lawson_employment_status
edwim,ref_med_spcl_referral_abs_service
edwim,ref_provider_address_type
edwim,ref_provider_board_certification
edwim,ref_provider_certification_status
edwim,ref_provider_contract_status
edwim,ref_provider_corporate_status
edwim,ref_provider_country
edwim,ref_provider_degree
edwim,ref_provider_insurance_carrier
edwim,ref_provider_insurance_coverage
edwim,ref_provider_insurance_term
edwim,ref_provider_language
edwim,ref_provider_license_agency
edwim,ref_provider_license_status
edwim,ref_provider_license_type
edwim,ref_provider_licensure_field
edwim,ref_provider_staff_type
edwim,ref_provider_status
edwim,ref_provider_title
